phylum;taxon_id_parent;n_hok_1980-1999;n_hok_2000-2019;n_hok_tot_1980-1999;n_hok_tot_2000-2019;prop_baseline;prop_2000_2019;ell_l;ell_n;ell_f;ell_r;ell_t;substrate;residuals_model_substrate;residuals_model_ellenberg
Bryophyta; 719;157;150;227;227;0,69603524;0,665198238;5;2; 5;2;3;artificial stone; -1,836028701;-2,802062182
Bryophyta; 719;157;150;227;227;0,69603524;0,665198238;5;2; 5;2;3;mineral soil; -1,203176570;-2,802062182
Bryophyta; 719;157;150;227;227;0,69603524;0,665198238;5;2; 5;2;3;soil on rock; -2,173144588;-2,802062182
Bryophyta; 720; 44; 28;227;227;0,19823789;0,127753304;6;4; 8;6;3;gravel or sand; -4,094646450;-3,265846563
Bryophyta; 720; 44; 28;227;227;0,19823789;0,127753304;6;4; 8;6;3;rock, hard; -4,866316758;-3,265846563
Bryophyta; 720; 44; 28;227;227;0,19823789;0,127753304;6;4; 8;6;3;rock, soft; -4,647092341;-3,265846563
Bryophyta; 720; 44; 28;227;227;0,19823789;0,127753304;6;4; 8;6;3;mineral soil; -3,763855651;-3,265846563
Bryophyta; 723; 96;103;227;227;0,42731278;0,458149780;6;2; 7;2;2;peat; -0,827158962; 0,008839914
Bryophyta; 723; 96;103;227;227;0,42731278;0,458149780;6;2; 7;2;2;mineral soil;  0,059959535; 0,008839914
Bryophyta; 725; 76;102;227;227;0,33920705;0,453744493;8;2; 5;3;2;gravel or sand;  2,057619034; 1,933315060
Bryophyta; 725; 76;102;227;227;0,33920705;0,453744493;8;2; 5;3;2;peat;  1,633628174; 1,933315060
Bryophyta; 725; 76;102;227;227;0,33920705;0,453744493;8;2; 5;3;2;mineral soil;  2,528183586; 1,933315060
Bryophyta; 725; 76;102;227;227;0,33920705;0,453744493;8;2; 5;3;2;soil on rock;  1,507008624; 1,933315060
Bryophyta; 727; 82; 85;227;227;0,36563877;0,378854626;9;1; 3;3;3;gravel or sand; -1,045980467;-2,509246756
Bryophyta; 727; 82; 85;227;227;0,36563877;0,378854626;9;1; 3;3;3;mineral soil; -0,592686165;-2,509246756
Bryophyta; 727; 82; 85;227;227;0,36563877;0,378854626;9;1; 3;3;3;soil on rock; -1,580111431;-2,509246756
Bryophyta; 738; 64; 41;227;227;0,28634361;0,185022026;7;5; 7;5;5;gravel or sand; -4,803782418;-4,251867197
Bryophyta; 738; 64; 41;227;227;0,28634361;0,185022026;7;5; 7;5;5;mineral soil; -4,416641570;-4,251867197
Bryophyta; 744; 85;136;227;227;0,37885463;0,603524229;8;5; 3;7;5;gravel or sand;  5,426935660; 4,162385629
Bryophyta; 744; 85;136;227;227;0,37885463;0,603524229;8;5; 3;7;5;mineral soil;  5,917855287; 4,162385629
Bryophyta; 744; 85;136;227;227;0,37885463;0,603524229;8;5; 3;7;5;soil on rock;  4,856546808; 4,162385629
Bryophyta; 745; 17; 27;227;227;0,07929515;0,123348018;6;3; 3;8;6;rock, hard;  0,065290591;-1,063769178
Bryophyta; 745; 17; 27;227;227;0,07929515;0,123348018;6;3; 3;8;6;rock, soft;  0,259877454;-1,063769178
Bryophyta; 745; 17; 27;227;227;0,07929515;0,123348018;6;3; 3;8;6;artificial stone;  0,630303024;-1,063769178
Bryophyta; 750;157;149;227;227;0,69603524;0,660792952;3;4; 6;3;4;decaying vegetation; -1,830968143;-2,717881705
Bryophyta; 750;157;149;227;227;0,69603524;0,660792952;3;4; 6;3;4;decorticated wood; -2,477092097;-2,717881705
Bryophyta; 750;157;149;227;227;0,69603524;0,660792952;3;4; 6;3;4;epiphytic on living wood; -4,568123187;-2,717881705
Bryophyta; 750;157;149;227;227;0,69603524;0,660792952;3;4; 6;3;4;rock, hard; -2,823140914;-2,717881705
Bryophyta; 750;157;149;227;227;0,69603524;0,660792952;3;4; 6;3;4;mineral soil; -1,347668094;-2,717881705
Bryophyta; 750;157;149;227;227;0,69603524;0,660792952;3;4; 6;3;4;soil on rock; -2,321820852;-2,717881705
Bryophyta; 766; 26; 99;227;227;0,11894273;0,440528634;6;4; 4;5;3;epiphytic on living wood;  8,569171304;10,653056873
Bryophyta; 788; 92; 83;227;227;0,40969163;0,370044053;5;4; 8;5;3;decorticated wood; -3,270825747;-1,645193195
Bryophyta; 788; 92; 83;227;227;0,40969163;0,370044053;5;4; 8;5;3;epiphytic on living wood; -5,420061958;-1,645193195
Bryophyta; 788; 92; 83;227;227;0,40969163;0,370044053;5;4; 8;5;3;rock, hard; -3,625492180;-1,645193195
Bryophyta; 788; 92; 83;227;227;0,40969163;0,370044053;5;4; 8;5;3;artificial stone; -2,765334959;-1,645193195
Bryophyta; 788; 92; 83;227;227;0,40969163;0,370044053;5;4; 8;5;3;mineral soil; -2,116197031;-1,645193195
Bryophyta; 794; 14; 14;227;227;0,06607930;0,066079295;3;5; 4;8;5;rock, hard; -1,886319969;-2,507626783
Bryophyta; 794; 14; 14;227;227;0,06607930;0,066079295;3;5; 4;8;5;rock, soft; -1,737292092;-2,507626783
Bryophyta; 794; 14; 14;227;227;0,06607930;0,066079295;3;5; 4;8;5;artificial stone; -1,455720793;-2,507626783
Bryophyta; 794; 14; 14;227;227;0,06607930;0,066079295;3;5; 4;8;5;soil on rock; -1,629145641;-2,507626783
Bryophyta; 798;132;198;227;227;0,58590308;0,876651982;4;6; 5;7;5;decorticated wood;  7,439812212; 7,228914938
Bryophyta; 798;132;198;227;227;0,58590308;0,876651982;4;6; 5;7;5;epiphytic on living wood;  5,734872789; 7,228914938
Bryophyta; 798;132;198;227;227;0,58590308;0,876651982;4;6; 5;7;5;rock, hard;  7,144412921; 7,228914938
Bryophyta; 798;132;198;227;227;0,58590308;0,876651982;4;6; 5;7;5;artificial stone;  7,870863444; 7,228914938
Bryophyta; 798;132;198;227;227;0,58590308;0,876651982;4;6; 5;7;5;mineral soil;  8,442054048; 7,228914938
Bryophyta; 799;  6; 13;227;227;0,03083700;0,061674009;7;5; 4;7;6;gravel or sand;  1,272792755; 0,588313628
Bryophyta; 799;  6; 13;227;227;0,03083700;0,061674009;7;5; 4;7;6;mineral soil;  1,494273862; 0,588313628
Bryophyta; 800; 74; 85;227;227;0,33039648;0,378854626;4;5; 5;7;3;epiphytic on living wood; -2,768534569;-0,720642643
Bryophyta; 800; 74; 85;227;227;0,33039648;0,378854626;4;5; 5;7;3;rock, hard; -1,032031829;-0,720642643
Bryophyta; 800; 74; 85;227;227;0,33039648;0,378854626;4;5; 5;7;3;artificial stone; -0,187107449;-0,720642643
Bryophyta; 800; 74; 85;227;227;0,33039648;0,378854626;4;5; 5;7;3;mineral soil;  0,456223824;-0,720642643
Bryophyta; 803;  6; 55;227;227;0,03083700;0,246696035;5;2; 6;2;3;decorticated wood; 14,466672979;14,173418441
Bryophyta; 803;  6; 55;227;227;0,03083700;0,246696035;5;2; 6;2;3;rock, hard; 14,009686498;14,173418441
Bryophyta; 803;  6; 55;227;227;0,03083700;0,246696035;5;2; 6;2;3;mineral soil; 16,028954473;14,173418441
Bryophyta; 804;170;199;227;227;0,75330396;0,881057269;7;4; 5;5;3;gravel or sand;  4,078648855; 4,064069904
Bryophyta; 804;170;199;227;227;0,75330396;0,881057269;7;4; 5;5;3;mineral soil;  4,413186011; 4,064069904
Bryophyta; 806; 13; 30;227;227;0,06167401;0,136563877;6;3; 6;6;3;gravel or sand;  2,788200460; 2,574918527
Bryophyta; 806; 13; 30;227;227;0,06167401;0,136563877;6;3; 6;6;3;mineral soil;  3,117881624; 2,574918527
Bryophyta; 831; 26; 29;227;227;0,11894273;0,132158590;6;2; 6;4;2;epiphytic on living wood; -2,917267417;-1,148682847
Bryophyta; 831; 26; 29;227;227;0,11894273;0,132158590;6;2; 6;4;2;rock, hard; -1,698799342;-1,148682847
Bryophyta; 864;  6;  1;227;227;0,03083700;0,008810573;7;1; 6;1;5;mineral soil; -2,658492027;-3,044065895
Bryophyta; 892; 10;  9;227;227;0,04845815;0,044052863;7;1; 7;2;3;peat; -1,690680525;-1,535690479
Bryophyta; 892; 10;  9;227;227;0,04845815;0,044052863;7;1; 7;2;3;mineral soil; -1,331809092;-1,535690479
Bryophyta; 894; 31; 33;227;227;0,14096916;0,149779736;8;1; 8;1;3;peat; -1,522709453;-0,589557358
Bryophyta; 894; 31; 33;227;227;0,14096916;0,149779736;8;1; 8;1;3;mineral soil; -0,890805616;-0,589557358
Bryophyta; 896; 40; 56;227;227;0,18061674;0,251101322;8;2;10;1;3;peat;  0,595191060; 2,975595974
Bryophyta; 898; 32; 63;227;227;0,14537445;0,281938326;7;3; 9;2;3;peat;  3,373420848; 5,395984105
Bryophyta; 898; 32; 63;227;227;0,14537445;0,281938326;7;3; 9;2;3;mineral soil;  4,201856759; 5,395984105
Bryophyta; 899; 79;104;227;227;0,35242291;0,462555066;6;3; 8;3;3;peat;  1,496547277; 2,878506546
Bryophyta; 899; 79;104;227;227;0,35242291;0,462555066;6;3; 8;3;3;mineral soil;  2,391472892; 2,878506546
Bryophyta; 900; 17; 35;227;227;0,07929515;0,158590308;6;3; 9;3;3;mineral soil;  2,848257094; 3,534792651
Bryophyta; 903; 11; 36;227;227;0,05286344;0,162995595;7;2; 9;3;3;peat;  4,875415838; 6,338913904
Bryophyta; 903; 11; 36;227;227;0,05286344;0,162995595;7;2; 9;3;3;mineral soil;  5,595911635; 6,338913904
Bryophyta; 904;  6; 13;227;227;0,03083700;0,061674009;8;1; 8;1;3;peat;  1,073485044; 1,641925781
Bryophyta; 905;  5; 10;227;227;0,02643172;0,048458150;8;2;10;2;3;peat;  0,622545557; 1,702516403
Bryophyta; 908; 73;103;227;227;0,32599119;0,458149780;7;2; 8;3;4;peat;  2,186494948; 3,290314631
Bryophyta; 908; 73;103;227;227;0,32599119;0,458149780;7;2; 8;3;4;mineral soil;  3,086905279; 3,290314631
Bryophyta; 909; 28; 40;227;227;0,12775330;0,180616740;8;1; 8;1;2;peat;  0,292520469; 1,512505746
Bryophyta; 909; 28; 40;227;227;0,12775330;0,180616740;8;1; 8;1;2;mineral soil;  0,972222261; 1,512505746
Bryophyta; 915; 31; 75;227;227;0,14096916;0,334801762;6;3; 9;4;3;peat;  5,662671859; 7,580700771
Bryophyta; 915; 31; 75;227;227;0,14096916;0,334801762;6;3; 9;4;3;mineral soil;  6,575199412; 7,580700771
Bryophyta; 916; 12; 34;227;227;0,05726872;0,154185022;7;2; 8;3;4;peat;  3,882604921; 4,611079271
