id	code	naam_nederlands	naam_wetenschappelijk	taxn_vrs_key	taxongroep	usageKey	scientificName	rank	order	matchType	phylum	kingdom	genus	class	confidence	synonym	status	family
8340	eurhyhia	Kleisnavelmos	Oxyrrhynchium hians (Hedw.) Loeske	INBSYS0000000612	Mossen	4279461	Oxyrrhynchium hians (Hedw.) Loeske	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Oxyrrhynchium	Bryopsida	100	FALSE	ACCEPTED	Brachytheciaceae
8341	eurhypum	Klein snavelmos	Oxyrrhynchium pumilum (Wilson) Loeske	INBSYS0000000725	Mossen	7695902	Oxyrrhynchium pumilum (Wilson) Loeske	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Oxyrrhynchium	Bryopsida	100	FALSE	ACCEPTED	Brachytheciaceae
8342	eurhysch	Kalksnavelmos	Oxyrrhynchium schleicheri (R.Hedw.) Röll	INBSYS0000000673	Mossen	7404708	Oxyrrhynchium schleicheri (R.Hedw.) Röll	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Oxyrrhynchium	Bryopsida	100	FALSE	ACCEPTED	Brachytheciaceae
8343	eurhyspe	Moerassnavelmos	Oxyrrhynchium speciosum (Brid.) Warnst.	INBSYS0000000559	Mossen	7599899	Oxyrrhynchium speciosum (Brid.) Warnst.	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Oxyrrhynchium	Bryopsida	100	FALSE	ACCEPTED	Brachytheciaceae
8344	tortuaca	Gewoon knopmos	Phascum cuspidatum Hedw.	INBSYS0000000749	Mossen	4280545	Phascum cuspidatum Hedw.	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Phascum	Bryopsida	100	FALSE	ACCEPTED	Pottiaceae
8345	apharpat	Slibmos	Physcomitrella patens (Hedw.) Bruch & Schimp.	INBSYS0000000591	Mossen	2674024	Physcomitrella patens Bruch & W.P.Schimper, 1849	SPECIES	Funariales	EXACT	Bryophyta	Plantae	Physcomitrella	Bryopsida	100	FALSE	ACCEPTED	Funariaceae
8346	eurhystl	Geplooid palmpjesmos	Plasteurhynchium striatulum (Spruce) M.Fleisch.	INBSYS0000000703	Mossen	8367130	Plasteurhynchium striatulum (Spruce) M.Fleisch.	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Plasteurhynchium	Bryopsida	100	FALSE	ACCEPTED	Brachytheciaceae
8347	polymfor	Fraai haarmos	Polytrichastrum formosum (Hedw.) G.L.Sm.	INBSYS0000000600	Mossen	2682934	Polytrichastrum formosum G.L.Smith, 1971	SPECIES	Polytrichales	EXACT	Bryophyta	Plantae	Polytrichastrum	Bryopsida	100	FALSE	ACCEPTED	Polytrichaceae
8348	polymlon	Gerand haarmos	Polytrichastrum longisetum (Sw. ex Brid.) G.L.Sm.	INBSYS0000000711	Mossen	2682932	Polytrichastrum longisetum G.L.Smith, 1971	SPECIES	Polytrichales	EXACT	Bryophyta	Plantae	Polytrichastrum	Bryopsida	100	FALSE	ACCEPTED	Polytrichaceae
8349	tortupro	Gesloten kleimos	Protobryum bryoides (Dicks.) J.Guerra & M.J.Cano	INBSYS0000000573	Mossen	7994339	Protobryum bryoides (Dicks.) J.Guerra & M.J.Cano	SPECIES	Pottiales	EXACT	Bryophyta	Plantae	Protobryum	Bryopsida	100	TRUE	SYNONYM	Pottiaceae
8350	scleppur	Groot laddermos	Pseudoscleropodium purum (Hedw.) M.Fleisch.	INBSYS0000000615	Mossen	2682836	Pseudoscleropodium purum Fleischer, 1925	SPECIES	Hypnales	EXACT	Bryophyta	Plantae	Pseudoscleropodium	Bryopsida	100	FALSE	ACCEPTED	Entodontaceae
